Category,States/UT's,Districts,No. of CSCs,Female,Male,Total1,General,OBC,SC,ST
Case Registered,Andaman and Nicobar,Nicobar,5,615,852,1467,557,315,546,49
Case Registered,Andaman and Nicobar,North and Middle Andaman,37,765,1114,1879,199,187,1436,57
Case Registered,Andaman and Nicobar,South Andaman,31,340,251,591,42,89,430,30
Case Registered,Andhra Pradesh,Alluri Sitharama Raju,430,6370,6828,13198,3585,4660,3176,1777
Case Registered,Andhra Pradesh,Anakapalli,646,6311,6267,12578,3532,4196,4347,503
Case Registered,Andhra Pradesh,Anantapur,577,10050,21628,31678,9189,8651,12245,1593
Case Registered,Andhra Pradesh,Annamayya,501,2039,1181,3220,1173,776,1118,153
Case Registered,Andhra Pradesh,Bapatla,461,1756,1960,3716,1729,680,1120,187
Case Registered,Andhra Pradesh,Chittoor,724,24254,12256,36510,19944,8818,7115,633
Case Registered,Andhra Pradesh,East Godavari,300,5908,7332,13240,7032,3230,2370,608
Case Registered,Andhra Pradesh,Eluru,572,345,507,852,423,199,210,20
Case Registered,Andhra Pradesh,Guntur,258,21371,13942,35313,8831,13189,10245,3048
Case Registered,Andhra Pradesh,Kakinada,385,775,947,1722,815,445,426,36
Case Registered,Andhra Pradesh,Konaseema,385,535,576,1111,380,541,163,27
Case Registered,Andhra Pradesh,Krishna,491,5518,7115,12633,5842,2893,3526,372
Case Registered,Andhra Pradesh,Kurnool,484,17867,22481,40348,27116,6569,3771,2892
Case Registered,Andhra Pradesh,Nandyal,489,493,1434,1927,1192,496,225,14
Case Registered,Andhra Pradesh,NTR,288,1674,3340,5014,1570,1297,2025,122
Case Registered,Andhra Pradesh,Palnadu,527,1343,2791,4134,2142,747,758,487
Case Registered,Andhra Pradesh,Parvathipuram Manyam,452,446,965,1411,252,742,265,152
Case Registered,Andhra Pradesh,Prakasam,730,8765,9790,18555,10959,3607,3607,382
Case Registered,Andhra Pradesh,Spsr Nellore,722,5505,4151,9656,6201,1096,1933,426
Case Registered,Andhra Pradesh,Sri Sathya Sai,467,447,1498,1945,803,526,561,55
Case Registered,Andhra Pradesh,Srikakulam,917,4321,6680,11001,2116,3600,2826,2459
Case Registered,Andhra Pradesh,Tirupati,774,4909,3206,8115,2348,5115,571,81
Case Registered,Andhra Pradesh,Visakhapatnam,79,6137,9863,16000,6709,3020,2467,3804
Case Registered,Andhra Pradesh,Vizianagaram,777,10652,15291,25943,5446,16460,2574,1463
Case Registered,Andhra Pradesh,West Godavari,368,2885,2600,5485,2724,2205,466,90
Case Registered,Andhra Pradesh,Y.S.R.,557,4271,6834,11105,5836,4025,1130,114
Case Registered,Arunachal Pradesh,Anjaw,41,1034,669,1703,380,830,433,60
Case Registered,Arunachal Pradesh,Changlang,102,4867,4153,9020,1885,1732,4209,1194
Case Registered,Arunachal Pradesh,Dibang Valley,21,1657,831,2488,286,1022,1024,156
Case Registered,Arunachal Pradesh,East Kameng,112,1153,556,1709,225,437,879,168
Case Registered,Arunachal Pradesh,East Siang,94,848,275,1123,198,255,625,45
Case Registered,Arunachal Pradesh,Kamle,57,0,0,0,0,0,0,0
Case Registered,Arunachal Pradesh,KraDaadi,78,50,40,90,2,9,19,60
Case Registered,Arunachal Pradesh,KurungKumey,75,650,1038,1688,59,4,135,1490
Case Registered,Arunachal Pradesh,Leparada,49,3,9,12,0,9,0,3
Case Registered,Arunachal Pradesh,Lohit,32,87,84,171,133,10,19,9
Case Registered,Arunachal Pradesh,Longding,48,9,14,23,3,0,20,0
Case Registered,Arunachal Pradesh,Lower Dibang Valley,60,24,15,39,3,12,12,12
Case Registered,Arunachal Pradesh,Lower Siang,51,0,0,0,0,0,0,0
Case Registered,Arunachal Pradesh,Lower Subansiri,164,160,181,341,8,3,243,87
Case Registered,Arunachal Pradesh,Namsai,103,8,5,13,6,1,0,6
Case Registered,Arunachal Pradesh,PakkeKessang,28,0,0,0,0,0,0,0
Case Registered,Arunachal Pradesh,Papum Pare,81,439,299,738,63,99,199,377
Case Registered,Arunachal Pradesh,Shi Yomi,34,0,0,0,0,0,0,0
Case Registered,Arunachal Pradesh,Siang,78,0,0,0,0,0,0,0
Case Registered,Arunachal Pradesh,Tawang,80,87,53,140,57,6,73,4
Case Registered,Arunachal Pradesh,Tirap,56,60,19,79,33,6,26,14
Case Registered,Arunachal Pradesh,Upper Siang,62,219,51,270,167,43,57,3
Case Registered,Arunachal Pradesh,Upper Subansiri,130,305,775,1080,12,169,896,3
Case Registered,Arunachal Pradesh,West Kameng,98,54,14,68,13,8,43,4
Case Registered,Arunachal Pradesh,West Siang,72,7,16,23,1,0,20,2
Case Registered,Assam,Bajali,33,10355,2900,13255,4128,6394,2398,335
Case Registered,Assam,Baksa,41,4464,5837,10301,1797,4702,2768,1034
